chain,flag_type,reason,stimulus_id,subject_id,upstream_pointer,user
-1,self,Other: Forgot what was said.,49,a85fea83395849aeaf138d8ca4a359ff,-1,a85fea83395849aeaf138d8ca4a359ff
0,stimulus,Other: Very difficult to understand after good night,14,dbcd6ad1e4c34d7c960c680caba4f38f,5,dbcd6ad1e4c34d7c960c680caba4f38f
1,self,Other: this particular speaker mumbles,18,ee0b9ee9be25472cbd39853cf5df7e35,2,ee0b9ee9be25472cbd39853cf5df7e35
-1,self,Speech stops or starts abruptly / speech sounds cut off,44,ee0b9ee9be25472cbd39853cf5df7e35,-1,ee0b9ee9be25472cbd39853cf5df7e35
1,self,Other: Couldn't hear anything at all,12,ee0b9ee9be25472cbd39853cf5df7e35,3,ee0b9ee9be25472cbd39853cf5df7e35
0,self,Other: the speaker is mumbling,15,ee0b9ee9be25472cbd39853cf5df7e35,2,ee0b9ee9be25472cbd39853cf5df7e35
0,stimulus,Other: Can't understand accent,23,ee0b9ee9be25472cbd39853cf5df7e35,0,ee0b9ee9be25472cbd39853cf5df7e35
1,stimulus,Other: speaker mumbled could not understand,25,e0c2fbea427849669dbd64c56c6e4932,5,e0c2fbea427849669dbd64c56c6e4932
0,stimulus,Other: I could not hear what she said,3,e0c2fbea427849669dbd64c56c6e4932,6,e0c2fbea427849669dbd64c56c6e4932
1,stimulus,Other: to difficult to understand,27,e0c2fbea427849669dbd64c56c6e4932,5,e0c2fbea427849669dbd64c56c6e4932
0,stimulus,Other: I can't understand the speaker at all,6,e0c2fbea427849669dbd64c56c6e4932,4,e0c2fbea427849669dbd64c56c6e4932
2,stimulus,Other: Can not understand speaker at all,16,e0c2fbea427849669dbd64c56c6e4932,11,e0c2fbea427849669dbd64c56c6e4932
2,self,Other: couldn't understand a thing,14,8c46ed4b4e8b45bf8340c9c95ba98eb7,17,8c46ed4b4e8b45bf8340c9c95ba98eb7
1,self,Other: I couldn't make it out... something about matter not changing,16,8c46ed4b4e8b45bf8340c9c95ba98eb7,14,8c46ed4b4e8b45bf8340c9c95ba98eb7
1,stimulus,"Other: i could only hear ""opening the door""",33,8c46ed4b4e8b45bf8340c9c95ba98eb7,16,8c46ed4b4e8b45bf8340c9c95ba98eb7
2,stimulus,Other: totally not understandable,18,8c46ed4b4e8b45bf8340c9c95ba98eb7,15,8c46ed4b4e8b45bf8340c9c95ba98eb7
1,stimulus,Speech stops or starts abruptly / speech sounds cut off,23,8c46ed4b4e8b45bf8340c9c95ba98eb7,20,8c46ed4b4e8b45bf8340c9c95ba98eb7
1,stimulus,Other: could make out but one or two words,5,8c46ed4b4e8b45bf8340c9c95ba98eb7,6,8c46ed4b4e8b45bf8340c9c95ba98eb7
2,stimulus,Other: i couldn't understand it,21,8c46ed4b4e8b45bf8340c9c95ba98eb7,13,8c46ed4b4e8b45bf8340c9c95ba98eb7
2,self,Other: unintelligible,24,783c979d5fa5450ab5ed8250194b6d1f,4,783c979d5fa5450ab5ed8250194b6d1f
2,self,Other: misheard,11,ca5eafb9d9fd423faca73d6f46ec55fe,23,ca5eafb9d9fd423faca73d6f46ec55fe
1,self,Other: made a mistake,25,ca5eafb9d9fd423faca73d6f46ec55fe,11,ca5eafb9d9fd423faca73d6f46ec55fe
1,stimulus,Other: I missed a part.,31,ca5eafb9d9fd423faca73d6f46ec55fe,26,ca5eafb9d9fd423faca73d6f46ec55fe
0,self,Contains speech errors,36,ca5eafb9d9fd423faca73d6f46ec55fe,12,ca5eafb9d9fd423faca73d6f46ec55fe
1,stimulus,Other: barely audible,35,ca5eafb9d9fd423faca73d6f46ec55fe,29,ca5eafb9d9fd423faca73d6f46ec55fe
-1,self,Other: missed part of it,50,ca5eafb9d9fd423faca73d6f46ec55fe,-1,ca5eafb9d9fd423faca73d6f46ec55fe
0,stimulus,Contains speech errors,0,ca5eafb9d9fd423faca73d6f46ec55fe,16,ca5eafb9d9fd423faca73d6f46ec55fe
0,self,Other: forgot what I heard,4,ca5eafb9d9fd423faca73d6f46ec55fe,18,ca5eafb9d9fd423faca73d6f46ec55fe
0,stimulus,Other: misheard,7,ca5eafb9d9fd423faca73d6f46ec55fe,13,ca5eafb9d9fd423faca73d6f46ec55fe
1,self,Other: I couldn't understand the audio at all.,18,953e30e15bab4be2a59726d385fa9a56,17,953e30e15bab4be2a59726d385fa9a56
0,self,Other: I couldn't understand the audio at all,2,953e30e15bab4be2a59726d385fa9a56,21,953e30e15bab4be2a59726d385fa9a56
0,self,Other: I couldn't understand it,36,953e30e15bab4be2a59726d385fa9a56,12,953e30e15bab4be2a59726d385fa9a56
2,self,Other: Could not understand the sentence,24,6c80819ed90e4ec2b722949d207b071d,4,6c80819ed90e4ec2b722949d207b071d
2,self,Contains speech errors,33,6c80819ed90e4ec2b722949d207b071d,8,6c80819ed90e4ec2b722949d207b071d
0,self,Other: Could not understand sentence,18,6c80819ed90e4ec2b722949d207b071d,5,6c80819ed90e4ec2b722949d207b071d
0,self,Speech stops or starts abruptly / speech sounds cut off,0,6c80819ed90e4ec2b722949d207b071d,0,6c80819ed90e4ec2b722949d207b071d
1,self,Other: Unable to understand the sentence,3,6c80819ed90e4ec2b722949d207b071d,5,6c80819ed90e4ec2b722949d207b071d
0,self,Other: Missed the sentence,6,6c80819ed90e4ec2b722949d207b071d,1,6c80819ed90e4ec2b722949d207b071d
-1,self,Other: too much background noise.,50,edce1d6d843446799ea704c3628cd554,-1,edce1d6d843446799ea704c3628cd554
0,self,Other: couldn't understand anything but mumbling,7,edce1d6d843446799ea704c3628cd554,11,edce1d6d843446799ea704c3628cd554
-1,self,Other: missed ,49,edce1d6d843446799ea704c3628cd554,-1,edce1d6d843446799ea704c3628cd554
2,self,Speech stops or starts abruptly / speech sounds cut off,23,114b28b597e24cefbcf6b4f704598a31,0,114b28b597e24cefbcf6b4f704598a31
2,stimulus,Other: cannot understand anything,9,15543dc3dc254192b79882eb6f1842ae,3,15543dc3dc254192b79882eb6f1842ae
1,stimulus,Other: Cannot hear anything at all,11,15543dc3dc254192b79882eb6f1842ae,3,15543dc3dc254192b79882eb6f1842ae
0,stimulus,Other: Cannot hear anything,30,15543dc3dc254192b79882eb6f1842ae,2,15543dc3dc254192b79882eb6f1842ae
1,self,Contains speech errors,24,1f59361af7f54d1a84f9d67279700410,6,1f59361af7f54d1a84f9d67279700410
1,self,Contains speech errors,20,1f59361af7f54d1a84f9d67279700410,4,1f59361af7f54d1a84f9d67279700410
1,stimulus,Other: I can not hear the speaker,21,1f59361af7f54d1a84f9d67279700410,1,1f59361af7f54d1a84f9d67279700410
1,self,Speech stops or starts abruptly / speech sounds cut off,31,1f59361af7f54d1a84f9d67279700410,11,1f59361af7f54d1a84f9d67279700410
1,self,Speech stops or starts abruptly / speech sounds cut off,37,1f59361af7f54d1a84f9d67279700410,3,1f59361af7f54d1a84f9d67279700410
-1,self,Contains speech errors,50,1f59361af7f54d1a84f9d67279700410,-1,1f59361af7f54d1a84f9d67279700410
1,self,Speech stops or starts abruptly / speech sounds cut off,5,1f59361af7f54d1a84f9d67279700410,6,1f59361af7f54d1a84f9d67279700410
0,self,Contains speech errors,6,1f59361af7f54d1a84f9d67279700410,1,1f59361af7f54d1a84f9d67279700410
2,stimulus,Contains speech errors,24,77dfa19d2b76456abdaa82ec3957d095,6,77dfa19d2b76456abdaa82ec3957d095
2,stimulus,Other: did not catch the beginning,10,77dfa19d2b76456abdaa82ec3957d095,8,77dfa19d2b76456abdaa82ec3957d095
2,stimulus,Other: recording was too long and would not allow me to re record,12,77dfa19d2b76456abdaa82ec3957d095,7,77dfa19d2b76456abdaa82ec3957d095
1,stimulus,Speech stops or starts abruptly / speech sounds cut off,20,77dfa19d2b76456abdaa82ec3957d095,5,77dfa19d2b76456abdaa82ec3957d095
0,stimulus,Speech stops or starts abruptly / speech sounds cut off,14,77dfa19d2b76456abdaa82ec3957d095,9,77dfa19d2b76456abdaa82ec3957d095
2,self,Other: did catch the beginning,28,77dfa19d2b76456abdaa82ec3957d095,5,77dfa19d2b76456abdaa82ec3957d095
-1,stimulus,Other: sorry my alarm went off during the recording,42,77dfa19d2b76456abdaa82ec3957d095,-1,77dfa19d2b76456abdaa82ec3957d095
-1,stimulus,Contains speech errors,50,77dfa19d2b76456abdaa82ec3957d095,-1,77dfa19d2b76456abdaa82ec3957d095
2,stimulus,Speech stops or starts abruptly / speech sounds cut off,35,77dfa19d2b76456abdaa82ec3957d095,8,77dfa19d2b76456abdaa82ec3957d095
1,stimulus,Other: couldn't understand,1,77dfa19d2b76456abdaa82ec3957d095,11,77dfa19d2b76456abdaa82ec3957d095
2,stimulus,Other: too much static to hear any speech,3,77dfa19d2b76456abdaa82ec3957d095,4,77dfa19d2b76456abdaa82ec3957d095
2,stimulus,Speech stops or starts abruptly / speech sounds cut off,2,77dfa19d2b76456abdaa82ec3957d095,5,77dfa19d2b76456abdaa82ec3957d095
2,stimulus,Other: cant' understand the speech,5,77dfa19d2b76456abdaa82ec3957d095,5,77dfa19d2b76456abdaa82ec3957d095
1,stimulus,Other: very unclear,4,77dfa19d2b76456abdaa82ec3957d095,4,77dfa19d2b76456abdaa82ec3957d095
0,stimulus,Other: can understand her at all,9,77dfa19d2b76456abdaa82ec3957d095,9,77dfa19d2b76456abdaa82ec3957d095
1,stimulus,Other: cant' understand the speech,8,77dfa19d2b76456abdaa82ec3957d095,7,77dfa19d2b76456abdaa82ec3957d095
-1,self,Speech stops or starts abruptly / speech sounds cut off,50,f6e7110e0f964a6d8bf35101e142b509,-1,f6e7110e0f964a6d8bf35101e142b509
0,stimulus,Other: can not understand any part,14,ebbd2e37618948f48984bd3b25638ebe,16,ebbd2e37618948f48984bd3b25638ebe
2,stimulus,Contains speech errors,0,1e1b7c3cc00b4db1b4ee03eb28fa991e,3,1e1b7c3cc00b4db1b4ee03eb28fa991e
2,stimulus,Contains speech errors,1,1e1b7c3cc00b4db1b4ee03eb28fa991e,7,1e1b7c3cc00b4db1b4ee03eb28fa991e
1,stimulus,Contains speech errors,2,1e1b7c3cc00b4db1b4ee03eb28fa991e,7,1e1b7c3cc00b4db1b4ee03eb28fa991e
0,stimulus,Contains speech errors,3,1e1b7c3cc00b4db1b4ee03eb28fa991e,4,1e1b7c3cc00b4db1b4ee03eb28fa991e
2,stimulus,Contains speech errors,4,1e1b7c3cc00b4db1b4ee03eb28fa991e,3,1e1b7c3cc00b4db1b4ee03eb28fa991e
2,stimulus,Contains speech errors,5,1e1b7c3cc00b4db1b4ee03eb28fa991e,6,1e1b7c3cc00b4db1b4ee03eb28fa991e
0,stimulus,Contains speech errors,6,1e1b7c3cc00b4db1b4ee03eb28fa991e,1,1e1b7c3cc00b4db1b4ee03eb28fa991e
0,stimulus,Contains speech errors,7,1e1b7c3cc00b4db1b4ee03eb28fa991e,5,1e1b7c3cc00b4db1b4ee03eb28fa991e
0,stimulus,Contains speech errors,8,1e1b7c3cc00b4db1b4ee03eb28fa991e,5,1e1b7c3cc00b4db1b4ee03eb28fa991e
0,stimulus,Contains speech errors,9,1e1b7c3cc00b4db1b4ee03eb28fa991e,10,1e1b7c3cc00b4db1b4ee03eb28fa991e
1,stimulus,Contains speech errors,10,1e1b7c3cc00b4db1b4ee03eb28fa991e,9,1e1b7c3cc00b4db1b4ee03eb28fa991e
2,stimulus,Contains speech errors,11,1e1b7c3cc00b4db1b4ee03eb28fa991e,6,1e1b7c3cc00b4db1b4ee03eb28fa991e
0,stimulus,Contains speech errors,12,1e1b7c3cc00b4db1b4ee03eb28fa991e,7,1e1b7c3cc00b4db1b4ee03eb28fa991e
2,stimulus,Contains speech errors,13,1e1b7c3cc00b4db1b4ee03eb28fa991e,7,1e1b7c3cc00b4db1b4ee03eb28fa991e
0,stimulus,Contains speech errors,14,1e1b7c3cc00b4db1b4ee03eb28fa991e,10,1e1b7c3cc00b4db1b4ee03eb28fa991e
2,stimulus,Speech stops or starts abruptly / speech sounds cut off,15,1e1b7c3cc00b4db1b4ee03eb28fa991e,9,1e1b7c3cc00b4db1b4ee03eb28fa991e
1,stimulus,Contains speech errors,16,1e1b7c3cc00b4db1b4ee03eb28fa991e,11,1e1b7c3cc00b4db1b4ee03eb28fa991e
2,stimulus,Speech stops or starts abruptly / speech sounds cut off,17,1e1b7c3cc00b4db1b4ee03eb28fa991e,1,1e1b7c3cc00b4db1b4ee03eb28fa991e
0,stimulus,Contains speech errors,18,1e1b7c3cc00b4db1b4ee03eb28fa991e,7,1e1b7c3cc00b4db1b4ee03eb28fa991e
2,stimulus,Contains speech errors,19,1e1b7c3cc00b4db1b4ee03eb28fa991e,8,1e1b7c3cc00b4db1b4ee03eb28fa991e
0,stimulus,Contains speech errors,20,1e1b7c3cc00b4db1b4ee03eb28fa991e,3,1e1b7c3cc00b4db1b4ee03eb28fa991e
2,stimulus,Contains speech errors,21,1e1b7c3cc00b4db1b4ee03eb28fa991e,10,1e1b7c3cc00b4db1b4ee03eb28fa991e
0,stimulus,Contains speech errors,22,1e1b7c3cc00b4db1b4ee03eb28fa991e,4,1e1b7c3cc00b4db1b4ee03eb28fa991e
0,stimulus,Contains speech errors,23,1e1b7c3cc00b4db1b4ee03eb28fa991e,6,1e1b7c3cc00b4db1b4ee03eb28fa991e
0,stimulus,Speech stops or starts abruptly / speech sounds cut off,24,1e1b7c3cc00b4db1b4ee03eb28fa991e,9,1e1b7c3cc00b4db1b4ee03eb28fa991e
2,stimulus,Contains speech errors,25,1e1b7c3cc00b4db1b4ee03eb28fa991e,7,1e1b7c3cc00b4db1b4ee03eb28fa991e
1,stimulus,Contains speech errors,26,1e1b7c3cc00b4db1b4ee03eb28fa991e,4,1e1b7c3cc00b4db1b4ee03eb28fa991e
2,stimulus,Contains speech errors,28,1e1b7c3cc00b4db1b4ee03eb28fa991e,6,1e1b7c3cc00b4db1b4ee03eb28fa991e
2,stimulus,Speech stops or starts abruptly / speech sounds cut off,29,1e1b7c3cc00b4db1b4ee03eb28fa991e,11,1e1b7c3cc00b4db1b4ee03eb28fa991e
0,stimulus,Contains speech errors,30,1e1b7c3cc00b4db1b4ee03eb28fa991e,6,1e1b7c3cc00b4db1b4ee03eb28fa991e
1,stimulus,Contains speech errors,31,1e1b7c3cc00b4db1b4ee03eb28fa991e,11,1e1b7c3cc00b4db1b4ee03eb28fa991e
2,stimulus,Speech stops or starts abruptly / speech sounds cut off,32,1e1b7c3cc00b4db1b4ee03eb28fa991e,10,1e1b7c3cc00b4db1b4ee03eb28fa991e
2,stimulus,Contains speech errors,33,1e1b7c3cc00b4db1b4ee03eb28fa991e,12,1e1b7c3cc00b4db1b4ee03eb28fa991e
0,stimulus,Contains speech errors,34,1e1b7c3cc00b4db1b4ee03eb28fa991e,8,1e1b7c3cc00b4db1b4ee03eb28fa991e
1,stimulus,Contains speech errors,35,1e1b7c3cc00b4db1b4ee03eb28fa991e,12,1e1b7c3cc00b4db1b4ee03eb28fa991e
1,stimulus,Contains speech errors,36,1e1b7c3cc00b4db1b4ee03eb28fa991e,9,1e1b7c3cc00b4db1b4ee03eb28fa991e
0,stimulus,Contains speech errors,37,1e1b7c3cc00b4db1b4ee03eb28fa991e,7,1e1b7c3cc00b4db1b4ee03eb28fa991e
0,stimulus,Contains speech errors,38,1e1b7c3cc00b4db1b4ee03eb28fa991e,13,1e1b7c3cc00b4db1b4ee03eb28fa991e
-1,stimulus,Speech stops or starts abruptly / speech sounds cut off,40,1e1b7c3cc00b4db1b4ee03eb28fa991e,-1,1e1b7c3cc00b4db1b4ee03eb28fa991e
-1,stimulus,Speech stops or starts abruptly / speech sounds cut off,43,1e1b7c3cc00b4db1b4ee03eb28fa991e,-1,1e1b7c3cc00b4db1b4ee03eb28fa991e
-1,stimulus,Speech stops or starts abruptly / speech sounds cut off,44,1e1b7c3cc00b4db1b4ee03eb28fa991e,-1,1e1b7c3cc00b4db1b4ee03eb28fa991e
-1,stimulus,Speech stops or starts abruptly / speech sounds cut off,45,1e1b7c3cc00b4db1b4ee03eb28fa991e,-1,1e1b7c3cc00b4db1b4ee03eb28fa991e
-1,self,Speech stops or starts abruptly / speech sounds cut off,46,1e1b7c3cc00b4db1b4ee03eb28fa991e,-1,1e1b7c3cc00b4db1b4ee03eb28fa991e
-1,stimulus,Speech stops or starts abruptly / speech sounds cut off,47,1e1b7c3cc00b4db1b4ee03eb28fa991e,-1,1e1b7c3cc00b4db1b4ee03eb28fa991e
-1,stimulus,Contains speech errors,50,1e1b7c3cc00b4db1b4ee03eb28fa991e,-1,1e1b7c3cc00b4db1b4ee03eb28fa991e
0,self,Other: intelligble,9,87c4b2cad8bb466aa3a100dbfedda98a,1,87c4b2cad8bb466aa3a100dbfedda98a
2,stimulus,Speech stops or starts abruptly / speech sounds cut off,0,fa24ac33e42f4764a782af3e43068951,15,fa24ac33e42f4764a782af3e43068951
-1,self,Other: Hard to hear due to background noice. No recording made. ,49,fa24ac33e42f4764a782af3e43068951,-1,fa24ac33e42f4764a782af3e43068951
1,self,Contains speech errors,9,87ca9d8b54f443348b9c51ca2bae5d8c,16,87ca9d8b54f443348b9c51ca2bae5d8c
2,self,Speech stops or starts abruptly / speech sounds cut off,35,2e58353dcc1e4ba28b9e531e06fee3e1,5,2e58353dcc1e4ba28b9e531e06fee3e1
0,self,Speech stops or starts abruptly / speech sounds cut off,30,737a3f0f0dc64e02aaa3b289e1763a60,12,737a3f0f0dc64e02aaa3b289e1763a60
2,stimulus,Other: Cannot understand,9,d0e1c63cc2714218856881a8e6dc2799,4,d0e1c63cc2714218856881a8e6dc2799
2,stimulus,"Other: Very difficult to understand, low quality",22,d0e1c63cc2714218856881a8e6dc2799,16,d0e1c63cc2714218856881a8e6dc2799
1,stimulus,Other: Quality drops halfway through,35,d0e1c63cc2714218856881a8e6dc2799,19,d0e1c63cc2714218856881a8e6dc2799
-1,self,Contains speech errors,50,d0e1c63cc2714218856881a8e6dc2799,-1,d0e1c63cc2714218856881a8e6dc2799
2,stimulus,Other: Screen froze and would not move along unless I clicked this,27,9dc60d09c0bc48d98685f8862c06bbf4,17,9dc60d09c0bc48d98685f8862c06bbf4
0,self,Other: Could not make out what was said with the background noise,20,9dc60d09c0bc48d98685f8862c06bbf4,4,9dc60d09c0bc48d98685f8862c06bbf4
-1,self,Other: Too far from microphone,47,9dc60d09c0bc48d98685f8862c06bbf4,-1,9dc60d09c0bc48d98685f8862c06bbf4
2,self,Other: I could not hear what was said,30,9dc60d09c0bc48d98685f8862c06bbf4,5,9dc60d09c0bc48d98685f8862c06bbf4
0,self,Other: Could not hear any speech,28,9dc60d09c0bc48d98685f8862c06bbf4,5,9dc60d09c0bc48d98685f8862c06bbf4
0,self,Contains speech errors,29,9dc60d09c0bc48d98685f8862c06bbf4,10,9dc60d09c0bc48d98685f8862c06bbf4
2,self,Other: Could not make a guess at all with the background noise,35,9dc60d09c0bc48d98685f8862c06bbf4,11,9dc60d09c0bc48d98685f8862c06bbf4
-1,self,Other: I tried to hear the sentence multiple times but the second part was not able to be heard with the background noise. ,50,9dc60d09c0bc48d98685f8862c06bbf4,-1,9dc60d09c0bc48d98685f8862c06bbf4
1,self,Other: I could not make out what was said at all.,0,9dc60d09c0bc48d98685f8862c06bbf4,12,9dc60d09c0bc48d98685f8862c06bbf4
2,self,Other: Could not make a guess,3,9dc60d09c0bc48d98685f8862c06bbf4,3,9dc60d09c0bc48d98685f8862c06bbf4
0,self,Other: There was too much background noise int he recording. All I could make out was it is called a then something to do with memory. ,0,bb3847e1c2f14c25b7343496702420b7,10,bb3847e1c2f14c25b7343496702420b7
2,self,"Other: I could not understand the voice, words, or language and too much background noise. ",2,bb3847e1c2f14c25b7343496702420b7,10,bb3847e1c2f14c25b7343496702420b7
0,self,Other: All I could hear was something to do with vinegar and lemon. There was to much background noise and the voice was low.  ,3,bb3847e1c2f14c25b7343496702420b7,7,bb3847e1c2f14c25b7343496702420b7
0,self,Other: I could understand some words in the beginning but not all of them. I thought it said he kicked a rock off the road to a near by site. I am unsure of the words after the beginning. The tone was was sort of low.,4,bb3847e1c2f14c25b7343496702420b7,13,bb3847e1c2f14c25b7343496702420b7
1,self,Speech stops or starts abruptly / speech sounds cut off,5,bb3847e1c2f14c25b7343496702420b7,5,bb3847e1c2f14c25b7343496702420b7
1,self,Other: I could not understand the words because the language was hard to understand. I think all I heard was the word chair. Too much background noise. ,7,bb3847e1c2f14c25b7343496702420b7,16,bb3847e1c2f14c25b7343496702420b7
0,self,Other: Once again way to much background noise. The voice was soft and low all I could make out was something to do with the body. ,8,bb3847e1c2f14c25b7343496702420b7,12,bb3847e1c2f14c25b7343496702420b7
2,self,Other: The voice was low and too much background noise. I could not make out what was being said at all. ,9,bb3847e1c2f14c25b7343496702420b7,4,bb3847e1c2f14c25b7343496702420b7
1,stimulus,Other: There was too much background noise. All I could hear was we should change the market and that was it.  ,10,bb3847e1c2f14c25b7343496702420b7,15,bb3847e1c2f14c25b7343496702420b7
2,self,Other: Too much background noise. In the beginning could hear it then the tone got lower and could not understand the words. All I could hear was you may not notice and that was it. ,11,bb3847e1c2f14c25b7343496702420b7,12,bb3847e1c2f14c25b7343496702420b7
0,self,Other: Again too much background nose and could not understand the language or words. ,12,bb3847e1c2f14c25b7343496702420b7,10,bb3847e1c2f14c25b7343496702420b7
0,self,Other: All I could make out was you should something to do with medicine. The tone was loud then soft and low and too much background noise.,13,bb3847e1c2f14c25b7343496702420b7,24,bb3847e1c2f14c25b7343496702420b7
1,stimulus,Other: I could not understand what was being said or the language. There was too much background noise. ,14,bb3847e1c2f14c25b7343496702420b7,2,bb3847e1c2f14c25b7343496702420b7
0,self,Other: There was too much background noise. I could not hear what was being said in the beginning. All I could make out was the word Texas int he recording. ,15,bb3847e1c2f14c25b7343496702420b7,10,bb3847e1c2f14c25b7343496702420b7
1,self,Other: Again too much background noise. Sounded like it mentioned we started in the fourth grade then something else and highest. ,18,bb3847e1c2f14c25b7343496702420b7,11,bb3847e1c2f14c25b7343496702420b7
0,self,Other: Could not understand the language or words being said and to much background noise.,19,bb3847e1c2f14c25b7343496702420b7,13,bb3847e1c2f14c25b7343496702420b7
0,self,"Other: It was pretty clear, but the person spoke too fast to catch everything. It was little noisy in the background. All I could make out was whether or not and something to do with cut leaves. I did not get the whole thing.",20,bb3847e1c2f14c25b7343496702420b7,7,bb3847e1c2f14c25b7343496702420b7
0,self,"Other: The voice was low and all I could hear was something to do with elements and rock, but not the whole sentence. Too much background noise. ",21,bb3847e1c2f14c25b7343496702420b7,5,bb3847e1c2f14c25b7343496702420b7
1,self,Contains speech errors,22,bb3847e1c2f14c25b7343496702420b7,18,bb3847e1c2f14c25b7343496702420b7
0,self,Other: too much background noise. I could not understand the words over the noise. The accent was hard to understand. ,24,bb3847e1c2f14c25b7343496702420b7,11,bb3847e1c2f14c25b7343496702420b7
2,self,Other: I could not understand the words being said because the background noise is too loud and the voice is soft and low.,26,bb3847e1c2f14c25b7343496702420b7,6,bb3847e1c2f14c25b7343496702420b7
0,stimulus,Other: Meant to choose that I could not make out what was being said besides the word bridge. Too much background noise and the voice was too low. ,27,bb3847e1c2f14c25b7343496702420b7,7,bb3847e1c2f14c25b7343496702420b7
2,self,Contains speech errors,28,bb3847e1c2f14c25b7343496702420b7,11,bb3847e1c2f14c25b7343496702420b7
2,self,Speech stops or starts abruptly / speech sounds cut off,29,bb3847e1c2f14c25b7343496702420b7,20,bb3847e1c2f14c25b7343496702420b7
0,self,Other: Could not understand what was being said at all. There was too much background noise and the voice was low. ,30,bb3847e1c2f14c25b7343496702420b7,10,bb3847e1c2f14c25b7343496702420b7
0,self,Other: Again too much background noise. I think the only word I heard was water. Voice was too low and too much background noise to make out what was being said. ,31,bb3847e1c2f14c25b7343496702420b7,16,bb3847e1c2f14c25b7343496702420b7
2,self,Other: I could not understand the speech at all. There was too much background noise. ,32,bb3847e1c2f14c25b7343496702420b7,17,bb3847e1c2f14c25b7343496702420b7
1,self,Other: There is too much background noise and can not understand the language being said. The voice is too low and sounds like everything is running together.,33,bb3847e1c2f14c25b7343496702420b7,15,bb3847e1c2f14c25b7343496702420b7
2,self,Other: Again too much background noise and the voice was very low to where I could not heard the words or what was being said. ,35,bb3847e1c2f14c25b7343496702420b7,11,bb3847e1c2f14c25b7343496702420b7
1,self,Other: Too much background noise and could not understand the words. ,36,bb3847e1c2f14c25b7343496702420b7,11,bb3847e1c2f14c25b7343496702420b7
0,self,Other: I could not understand the language being spoke & was to loud in the background. ,38,bb3847e1c2f14c25b7343496702420b7,19,bb3847e1c2f14c25b7343496702420b7
-1,self,Other: There was too much background noise. It started off loud and got quieter as the person spoke to where you could not hear what was said. All I could hear was at once and that was it. ,49,bb3847e1c2f14c25b7343496702420b7,-1,bb3847e1c2f14c25b7343496702420b7
-1,self,Other: I could only make out some words because of the background noise. All I could make out was she had your dark something. ,50,bb3847e1c2f14c25b7343496702420b7,-1,bb3847e1c2f14c25b7343496702420b7
2,stimulus,Other: Incomprehensible,3,8cdc2d137b2e4ba78c2a094ea4e54642,5,8cdc2d137b2e4ba78c2a094ea4e54642
0,stimulus,"Other: Cannot decipher any words, mumbling",30,8cdc2d137b2e4ba78c2a094ea4e54642,10,8cdc2d137b2e4ba78c2a094ea4e54642
0,stimulus,Other: I could not understand it,12,9d9cf1e92ae6489b89098c7716ffe35b,10,9d9cf1e92ae6489b89098c7716ffe35b
