,chain,character_levdau,check_time,condition,flag_type,gold_candidate_transcription,gold_comparison_transcription,gold_dist,length_accept,reason,stimulus,stimulus_id,subject_id,target_length,upload_time,upstream_pointer,upstream_subject_id,user,user_candidate_transcription,user_comparison_transcription,user_dist,user_short,word_distances
2737,0,0.0,978.0,cafe,,It is called a bus of memory if you are smart,its all of us as memory is your smartingurame,0.5111111402511597,1.0,,0.0,0,,11.0,0.0,15,c35185fff8fe45898de89947eed14084,3d6a0156c9f04697805150d14ad2decb,It is called a bus of memory if you are smart,its all of us as memory is your smartingurame,0.5111111402511597,3d6a0156,0.0
0,0,,,,,,,,,,,1,,,,-1,,0,a dietitian goes to college for at least four years,,,,
89,0,0.0,2305.0,cafe,,a dietitian goes to college for at least four years,a dhietition goes to college for at least four years,0.03846153989434242,1.0,,1.0,1,,10.0,0.0,0,0,114b28b597e24cefbcf6b4f704598a31,a dietitian goes to college for at least four years,a dhietition goes to college for at least four years,0.03846153989434242,114b28b5,0.0
3937,0,0.019607843831181526,4132.0,cafe,,a dietitian goes to college for at least four years,a dietition goes to college for at least four years,0.019607843831181526,1.0,,1.0,1,,10.0,0.0,1,114b28b597e24cefbcf6b4f704598a31,ac897fd4c5684297a2dcbcf9d48b9ff7,A dietitian goes to college for at least four years,a dietition goes to college for at least four years,0.03921568766236305,ac897fd4,0.0
1650,0,0.0,741.0,cafe,,A dietitian goes to college for at least four years,a dietition goes to college for ley's four years,0.1568627506494522,1.0,,1.0,1,,10.0,0.0,2,ac897fd4c5684297a2dcbcf9d48b9ff7,16716c587a584b3bbfc2480bbe534e38,A dietitian goes to college for at least four years,a dietition goes to college for ley's four years,0.1568627506494522,16716c58,0.0
136,0,0.0,1593.0,cafe,,A dietitian goes to college for at least four years,a dietishion goes to college fertleast four years,0.1568627506494522,1.0,,1.0,1,,10.0,0.0,3,16716c587a584b3bbfc2480bbe534e38,15543dc3dc254192b79882eb6f1842ae,A dietitian goes to college for at least four years,a dietishion goes to college fertleast four years,0.1568627506494522,15543dc3,0.0
2365,0,0.0,687.0,cafe,,A dietitian goes to college for at least four years,a dietician goes to college for at least four years,0.03921568766236305,1.0,,1.0,1,,10.0,0.0,4,15543dc3dc254192b79882eb6f1842ae,6c80819ed90e4ec2b722949d207b071d,A dietitian goes to college for at least four years,a dietician goes to college for at least four years,0.03921568766236305,6c80819e,0.0
543,0,0.0,956.0,cafe,,A dietitian goes to college for at least four years,in dietition goes the college where a least forared,0.3137255012989044,1.0,,1.0,1,,10.0,0.0,5,6c80819ed90e4ec2b722949d207b071d,1f59361af7f54d1a84f9d67279700410,A dietitian goes to college for at least four years,in dietition goes the college where a least forared,0.3137255012989044,1f59361a,0.0
3112,0,0.09803921729326248,1073.0,cafe,,A dietitian goes to college for at least four years,a dietician goes to college for at least four years,0.03921568766236305,1.0,,1.0,1,,10.0,0.0,6,1f59361af7f54d1a84f9d67279700410,e7e6cf9bab944075b6cb7890a0b46312,a dietitian goes to college for at least 4 years,a dietician goes to college for at least four years,0.09803921729326248,e7e6cf9b,1.0
605,0,0.09803921729326248,5534.0,cafe,,a dietitian goes to college for at least 4 years,a dietician goes to college for at least four years,0.09803921729326248,1.0,,1.0,1,,10.0,0.0,7,e7e6cf9bab944075b6cb7890a0b46312,df565f190d5c43a59eb975f1676d0788,A dietitian goes to college for at least four years,a dietician goes to college for at least four years,0.03921568766236305,df565f19,1.0
1099,0,0.0,2382.0,cafe,,A dietitian goes to college for at least four years,a diatitien those to college for at least of four years,0.16363635659217834,1.0,,1.0,1,,10.0,0.0,8,df565f190d5c43a59eb975f1676d0788,94525772014f4a44a2dd99965ddc9a15,A dietitian goes to college for at least four years,a diatitien those to college for at least of four years,0.16363635659217834,94525772,0.0
1814,0,0.17307692766189575,1064.0,cafe,,A dietitian goes to college for at least four years,the datatistengoes the school for at least four years,0.3396226465702057,1.0,,1.0,1,,10.0,0.0,9,94525772014f4a44a2dd99965ddc9a15,b23a9f0736c042b08955a2ca1a434268,the dietitian goes to school for at least four years,the datatistengoes the school for at least four years,0.16981132328510284,b23a9f07,2.0
4324,0,0.3461538553237915,1279.0,cafe,,the dietitian goes to school for at least four years,i will be going to school for at least four years,0.26923078298568726,1.0,,1.0,1,,10.0,0.0,10,b23a9f0736c042b08955a2ca1a434268,0b9a7c8d54cf4661919b0aed8d612d46,I will be going to school at least four years,i will be going to school for at least four years,0.10204081982374191,0b9a7c8d,5.0
1214,0,0.08888889104127884,1056.0,cafe,,I will be going to school at least four years,i will be going to school at least for a year,0.1111111119389534,1.0,,1.0,1,,10.0,0.0,11,0b9a7c8d54cf4661919b0aed8d612d46,8f285aef5a2a4053ac09ff1d4e7cf864,I will be going to school at least for a year,i will be going to school at least for a year,0.02222222276031971,8f285aef,3.0
3742,0,0.0,1296.0,cafe,,I will be going to school at least for a year,i will be going to school at least for a year,0.02222222276031971,1.0,,1.0,1,,11.0,0.0,12,8f285aef5a2a4053ac09ff1d4e7cf864,e6886a35cc9f4276ad34c78b9c8d4d0e,I will be going to school at least for a year,i will be going to school at least for a year,0.02222222276031971,e6886a35,0.0
304,0,0.17777778208255768,1685.0,cafe,,I will be going to school at least for a year,i will be going to school for at least in here,0.28260868787765503,1.0,,1.0,1,,11.0,0.0,13,e6886a35cc9f4276ad34c78b9c8d4d0e,5d795e0ec6f646cea9d09ac1959a2823,I will be going to school for at least a year,i will be going to school for at least in here,0.1304347813129425,5d795e0e,2.0
1962,0,0.0,803.0,cafe,,I will be going to school for at least a year,i will be going to school for it le se ,0.2222222238779068,1.0,,1.0,1,,11.0,0.0,14,5d795e0ec6f646cea9d09ac1959a2823,66e8a54882844d2e83d2bd866bce4427,I will be going to school for at least a year,i will be going to school for it le se ,0.2222222238779068,66e8a548,0.0
654,0,0.0,750.0,cafe,,I will be going to school for at least a year,i will be going to school for at least a year,0.02222222276031971,1.0,,1.0,1,,11.0,0.0,15,66e8a54882844d2e83d2bd866bce4427,36c586183ada497bb52fdc95ba43d176,I will be going to school for at least a year,i will be going to school for at least a year,0.02222222276031971,36c58618,0.0
457,0,0.0,2331.0,cafe,,I will be going to school for at least a year,i will be going to school for at least a year,0.02222222276031971,1.0,,1.0,1,,11.0,0.0,16,36c586183ada497bb52fdc95ba43d176,bdb6d003f5b0416da8dcc528e298ab79,I will be going to school for at least a year,i will be going to school for at least a year,0.02222222276031971,bdb6d003,0.0
2789,0,0.02222222276031971,1046.0,cafe,,I will be going to school for at least a year,i will be going to school for at least a year,0.02222222276031971,1.0,,1.0,1,,11.0,0.0,17,bdb6d003f5b0416da8dcc528e298ab79,f14a9fc4ffb24e5aa82e7da41e05ad59,i will be going to school for at least a year,i will be going to school for at least a year,0.0,f14a9fc4,0.0
1145,0,0.02222222276031971,2025.0,cafe,,i will be going to school for at least a year,i will be going to school for at least a year,0.0,1.0,,1.0,1,,11.0,0.0,18,f14a9fc4ffb24e5aa82e7da41e05ad59,9d9cf1e92ae6489b89098c7716ffe35b,I will be going to school for at least a year,i will be going to school for at least a year,0.02222222276031971,9d9cf1e9,0.0
1186,0,0.0,791.0,cafe,,I will be going to school for at least a year,i will be gone to school for a lest a year,0.1111111119389534,1.0,,1.0,1,,11.0,0.0,19,9d9cf1e92ae6489b89098c7716ffe35b,6dcc5de8f3a146d3abb7a2887e3a5499,I will be going to school for at least a year,i will be gone to school for a lest a year,0.1111111119389534,6dcc5de8,0.0
3323,0,0.0,1626.0,cafe,,I will be going to school for at least a year,i will be on this so for at least a year,0.2222222238779068,1.0,,1.0,1,,11.0,0.0,20,6dcc5de8f3a146d3abb7a2887e3a5499,f4762f5309094a62ad0b0694dc27867a,I will be going to school for at least a year,i will be on this so for at least a year,0.2222222238779068,f4762f53,0.0
419,0,0.0,1938.0,cafe,,I will be going to school for at least a year,i will be going to school for at least a year,0.02222222276031971,1.0,,1.0,1,,11.0,0.0,21,f4762f5309094a62ad0b0694dc27867a,a03e888d7e0e4f148795acacc0f065cc,I will be going to school for at least a year,i will be going to school for at least a year,0.02222222276031971,a03e888d,0.0
4286,0,0.0,1189.0,cafe,,I will be going to school for at least a year,i will be going to school for at least a year,0.02222222276031971,1.0,,1.0,1,,11.0,0.0,22,a03e888d7e0e4f148795acacc0f065cc,aedc9764b93e45308bf8d19d649a17bd,I will be going to school for at least a year,i will be going to school for at least a year,0.02222222276031971,aedc9764,0.0
733,0,0.021739130839705467,856.0,cafe,,I will be going to school for at least a year,i will be going to school for at least a year,0.02222222276031971,1.0,,1.0,1,,11.0,0.0,23,aedc9764b93e45308bf8d19d649a17bd,887c6c2ef76c42058a0e5d9d85e5c0c7,I will be going to school for at least a year ,i will be going to school for at least a year,0.043478261679410934,887c6c2e,1.0
48,0,0.08695652335882187,2114.0,cafe,,I will be going to school for at least a year ,ill be going to school for at least a year,0.08695652335882187,1.0,,1.0,1,,12.0,0.0,24,887c6c2ef76c42058a0e5d9d85e5c0c7,ca5eafb9d9fd423faca73d6f46ec55fe,I would be going to school for at least a year,ill be going to school for at least a year,0.1304347813129425,ca5eafb9,2.0
0,0,,,,,,,,,,,2,,,,-1,,0,the iris absorbs all of the light waves except blue,,,,
4202,0,0.3333333432674408,836.0,cafe,,the iris absorbs all of the light waves except blue,he iros absorbs all of the light ray set towards it,0.3529411852359772,1.0,,2.0,2,,10.0,0.0,0,0,56a676028bf349d0914567b3f9d3f6a6,The iris absorbs all of the light rays sent towards it,he iros absorbs all of the light ray set towards it,0.07407407462596893,56a67602,4.0
1307,0,0.38596490025520325,3425.0,cafe,,The iris absorbs all of the light rays sent towards it,the irish of sorts absorbed all the light wave sent to it,0.42105263471603394,1.0,,2.0,2,,11.0,0.0,1,56a676028bf349d0914567b3f9d3f6a6,722a903781df47cb93474a1e87249a00,The iris of sorts absorbed all the light waves sent to it,the irish of sorts absorbed all the light wave sent to it,0.05263157933950424,722a9037,6.0
4163,0,0.12280701845884323,928.0,cafe,,The iris of sorts absorbed all the light waves sent to it,the hirers of sorts absures all the lightwrayesenttoid,0.2631579041481018,1.0,,2.0,2,,12.0,0.0,2,722a903781df47cb93474a1e87249a00,b80ced7f47da426fb1de48bab918fed0,the iris of sorts absorbs all light waves sent to it,the hirers of sorts absures all the lightwrayesenttoid,0.31481480598449707,b80ced7f,2.0
137,0,0.16981132328510284,1539.0,cafe,,the iris of sorts absorbs all light waves sent to it,the iris of sorts absorbs all a light was into it,0.1538461595773697,1.0,,2.0,2,,11.0,0.0,3,b80ced7f47da426fb1de48bab918fed0,15543dc3dc254192b79882eb6f1842ae,The iris of sorts absorbs all the light waves into it,the iris of sorts absorbs all a light was into it,0.11320754885673523,15543dc3,3.0
2884,0,0.0555555559694767,2084.0,cafe,,The iris of sorts absorbs all the light waves into it,the iris of soribs observes all the light waves into it,0.12727272510528564,1.0,,2.0,2,,11.0,0.0,5,15543dc3dc254192b79882eb6f1842ae,05dd2d694153452f816e88539b54d534,the iris of swords absorbs all the light waves into it,the iris of soribs observes all the light waves into it,0.12727272510528564,05dd2d69,1.0
2366,0,0.24074074625968933,762.0,cafe,,the iris of swords absorbs all the light waves into it,the irish of sorts absorb all the white into it,0.24074074625968933,1.0,,2.0,2,,11.0,0.0,6,05dd2d694153452f816e88539b54d534,6c80819ed90e4ec2b722949d207b071d,the Irish of sorts absorb all the whites into it,the irish of sorts absorb all the white into it,0.0416666679084301,6c80819e,5.0
4400,0,0.4117647111415863,8021.0,cafe,,the Irish of sorts absorb all the whites into it,the irisasorbs in the ieslefte white material,0.5416666865348816,1.0,,2.0,2,,10.0,0.0,7,6c80819ed90e4ec2b722949d207b071d,8ffbf69b1fa9457692dadc97457ebb77,The iris in the eye absorbs all the white material ,the irisasorbs in the ieslefte white material,0.4313725531101227,8ffbf69b,8.0
2758,0,0.40740740299224854,860.0,cafe,,The iris in the eye absorbs all the white material ,an iris absorbes in the eye all of the light material ,0.48148149251937866,1.0,,2.0,2,,11.0,0.0,8,8ffbf69b1fa9457692dadc97457ebb77,3fee3c2df1ff4cd9a5fe0fddf03c5d93,The iris absorbs in the eye all of the light material ,an iris absorbes in the eye all of the light material ,0.07407407462596893,3fee3c2d,4.0
2037,0,0.1666666716337204,3832.0,cafe,,The iris absorbs in the eye all of the light material ,an irish absorbed in the eye all of the white material,0.2222222238779068,1.0,,2.0,2,,12.0,0.0,9,3fee3c2df1ff4cd9a5fe0fddf03c5d93,4572ecac46c5450184c01903c5444e2e,an iris absorbs in the eye all of the white material,an irish absorbed in the eye all of the white material,0.0555555559694767,4572ecac,3.0
585,0,0.07692307978868484,1064.0,cafe,,an iris absorbs in the eye all of the white material,and iris of sorts in the eye all the like material,0.21153846383094788,1.0,,2.0,2,,11.0,0.0,10,4572ecac46c5450184c01903c5444e2e,3b6468ae3cd04c5cb8d006ad2b076f88,An iris absorbs in the eye all the white material,and iris of sorts in the eye all the like material,0.18000000715255737,3b6468ae,1.0
606,0,0.22448979318141937,2033.0,cafe,,An iris absorbs in the eye all the white material,the iris ubjorbes in the eye all the literature,0.2857142984867096,1.0,,2.0,2,,10.0,0.0,11,3b6468ae3cd04c5cb8d006ad2b076f88,df565f190d5c43a59eb975f1676d0788,The iris absorbs in the eye all the literature,the iris ubjorbes in the eye all the literature,0.08510638028383255,df565f19,3.0
1815,0,0.042553190141916275,1178.0,cafe,,The iris absorbs in the eye all the literature,the iris oblords in the eye all the literature,0.08695652335882187,1.0,,2.0,2,,9.0,0.0,12,df565f190d5c43a59eb975f1676d0788,b23a9f0736c042b08955a2ca1a434268,the iris absorbs in they eye all the literature,the iris oblords in the eye all the literature,0.08510638028383255,b23a9f07,1.0
1905,0,0.1489361673593521,1044.0,cafe,,the iris absorbs in they eye all the literature,the iris of words in the eye all literature,0.21276596188545227,1.0,,2.0,2,,9.0,0.0,13,b23a9f0736c042b08955a2ca1a434268,8d0f270b85d34ee69619e79a675de93a,The iris of words in the eye all the literature,the iris of words in the eye all literature,0.10638298094272614,8d0f270b,3.0
1765,0,0.3617021143436432,951.0,cafe,,The iris of words in the eye all the literature,the iris of words in the eye of numbers,0.3404255211353302,1.0,,2.0,2,,10.0,0.0,14,8d0f270b85d34ee69619e79a675de93a,515b7e4a19034ddb848a8f609835fb48,the iris of words in the eyes of numbers,the iris of words in the eye of numbers,0.02500000037252903,515b7e4a,4.0
1215,0,0.3499999940395355,,cafe,,the iris of words in the eyes of numbers,the iris of the words in the eye close,0.3499999940395355,1.0,,2.0,2,,9.0,,15,515b7e4a19034ddb848a8f609835fb48,8f285aef5a2a4053ac09ff1d4e7cf864,the iris of the words in the eye close,the iris of the words in the eye close,0.0,8f285aef,4.0
372,0,0.28947368264198303,1266.0,cafe,,the iris of the words in the eye close,tired of the word in the eyes closed,0.21052631735801697,1.0,,2.0,2,,9.0,0.0,16,8f285aef5a2a4053ac09ff1d4e7cf864,fa64cac4a6344f648c1b87c5f3de502b,Tired of the word and the eyes closed,tired of the word in the eyes closed,0.0810810774564743,fa64cac4,6.0
4,0,0.20512820780277252,1138.0,cafe,,Tired of the word and the eyes closed,tired of the word with your eyes closed,0.23076923191547394,1.0,,2.0,2,,8.0,0.0,17,fa64cac4a6344f648c1b87c5f3de502b,1d3dc3af526d4e5a86b558f3bb525d3e,Tired of the word with your eyes closed,tired of the word with your eyes closed,0.025641025975346565,1d3dc3af,2.0
1146,0,0.12820513546466827,1124.0,cafe,,Tired of the word with your eyes closed,tired of the world with her eyes closed,0.12820513546466827,1.0,,2.0,2,,8.0,0.0,18,1d3dc3af526d4e5a86b558f3bb525d3e,9d9cf1e92ae6489b89098c7716ffe35b,tired of the world with her eyes closed,tired of the world with her eyes closed,0.0,9d9cf1e9,2.0
2652,0,0.0,1142.0,cafe,,tired of the world with her eyes closed,tired of the world with her eyes closed,0.0,1.0,,2.0,2,,8.0,0.0,19,9d9cf1e92ae6489b89098c7716ffe35b,b752d7fad45a4830a9b2d2808e662886,tired of the world with her eyes closed,tired of the world with her eyes closed,0.0,b752d7fa,0.0
1514,0,0.0,1197.0,cafe,,tired of the world with her eyes closed,a our of the world with her as crows ,0.3076923191547394,1.0,,2.0,2,,8.0,0.0,20,b752d7fad45a4830a9b2d2808e662886,0efbe599f68b4e7ab5691154451ea834,tired of the world with her eyes closed,a our of the world with her as crows ,0.3076923191547394,0efbe599,0.0
0,0,,,,,,,,,,,3,,,,-1,,0,some acids you may know are vinegar and lemon juice,,,,
2928,0,0.13725490868091583,1302.0,cafe,,some acids you may know are vinegar and lemon juice,some acinte you may now or vinegar in womens ,0.3333333432674408,1.0,,3.0,3,,10.0,0.0,0,0,50e8266de4024318978e7fbf46d00253,Some acids you may know are vinegar and lemons,some acinte you may now or vinegar in womens ,0.28260868787765503,50e8266d,2.0
688,0,0.043478261679410934,735.0,cafe,,Some acids you may know are vinegar and lemons,some acids you may know or a viniper and lemon,0.17391304671764374,1.0,,3.0,3,,9.0,0.0,1,50e8266de4024318978e7fbf46d00253,ced34bb304034c3aa798ad0d3bb2497a,some acids you may know are vinegar and lemon,some acids you may know or a viniper and lemon,0.1304347813129425,ced34bb3,1.0
1467,0,0.0,1643.0,cafe,,some acids you may know are vinegar and lemon,so as you may know are venegorhandlean,0.24444444477558136,1.0,,3.0,3,,9.0,0.0,2,ced34bb304034c3aa798ad0d3bb2497a,dda8b7f3daa94c3c8b503865fc95800b,some acids you may know are vinegar and lemon,so as you may know are venegorhandlean,0.24444444477558136,dda8b7f3,0.0
1101,0,0.19148936867713928,4586.0,cafe,,some acids you may know are vinegar and lemon,some sauces you may also now are vinegar and lemon,0.18000000715255737,1.0,,3.0,3,,9.0,0.0,3,dda8b7f3daa94c3c8b503865fc95800b,94525772014f4a44a2dd99965ddc9a15,Some sauces you also know are vinegar and lemon,some sauces you may also now are vinegar and lemon,0.11999999731779099,94525772,2.0
1417,0,0.0784313753247261,1050.0,cafe,,Some sauces you also know are vinegar and lemon,some sauce you may also now are beneter and lemon,0.22448979318141937,1.0,,3.0,3,,9.0,0.0,5,94525772014f4a44a2dd99965ddc9a15,e572f6489e034bdbb79bcf5c22d8525f,Some sauces you may also know are vinegar and lemon,some sauce you may also now are beneter and lemon,0.13725490868091583,e572f648,1.0
241,0,0.13461539149284363,853.0,cafe,,Some sauces you may also know are vinegar and lemon,some fossils you may also no our vinegar and women,0.29411765933036804,1.0,,3.0,3,,10.0,0.0,7,e572f6489e034bdbb79bcf5c22d8525f,5822731a3e0d434480a3c02bdc88517c,some fossils you may also know are vinegar and lemon,some fossils you may also no our vinegar and women,0.1538461595773697,5822731a,1.0
4060,0,0.01923076994717121,1068.0,cafe,,some fossils you may also know are vinegar and lemon,some fossils you may also low our vinegar and the ming,0.18518517911434174,1.0,,3.0,3,,10.0,0.0,8,5822731a3e0d434480a3c02bdc88517c,39a4ff5d3773406ca8daf50a2046ec2b,Some fossils you may also know are vinegar and lemon,some fossils you may also low our vinegar and the ming,0.20370370149612427,39a4ff5d,0.0
735,0,0.01886792480945587,999.0,cafe,,Some fossils you may also know are vinegar and lemon,some posls you may also know our vinegar and lemon,0.13461539149284363,1.0,,3.0,3,,10.0,0.0,10,39a4ff5d3773406ca8daf50a2046ec2b,887c6c2ef76c42058a0e5d9d85e5c0c7,Some fossils you may also know are vinegar and lemon ,some posls you may also know our vinegar and lemon,0.15094339847564697,887c6c2e,1.0
0,0,,,,,,,,,,,4,,,,-1,,0,the chase leads across a field toward a nearby farm,,,,
2929,0,0.1568627506494522,1197.0,cafe,,the chase leads across a field toward a nearby farm,the chase leaves across the field to a near by far,0.21568627655506134,1.0,,4.0,4,,10.0,0.0,0,0,50e8266de4024318978e7fbf46d00253,The chase leads across the field to a nearby farm,the chase leaves across the field to a near by far,0.10000000149011612,50e8266d,2.0
3032,0,0.22448979318141937,2606.0,cafe,,The chase leads across the field to a nearby farm,he take me across the field to a near by pond,0.26530611515045166,1.0,,4.0,4,,10.0,0.0,3,50e8266de4024318978e7fbf46d00253,31349dc3fe2a4616a8acbbae4fb05fe7,He chased me across the field to a nearby pond,he take me across the field to a near by pond,0.1304347813129425,31349dc3,4.0
2886,0,0.08695652335882187,2041.0,cafe,,He chased me across the field to a nearby pond,you chase me across the fields or near by pond,0.19565217196941376,1.0,,4.0,4,,10.0,0.0,4,31349dc3fe2a4616a8acbbae4fb05fe7,05dd2d694153452f816e88539b54d534,you chase me across the field to a nearby pond,you chase me across the fields or near by pond,0.10869564861059189,05dd2d69,2.0
2367,0,0.08695652335882187,712.0,cafe,,you chase me across the field to a nearby pond,he chased me across the field to a near by pond,0.10638298094272614,1.0,,4.0,4,,10.0,0.0,5,05dd2d694153452f816e88539b54d534,6c80819ed90e4ec2b722949d207b071d,he chased me across the field to a nearby pond,he chased me across the field to a near by pond,0.021276595070958138,6c80819e,2.0
689,0,0.0416666679084301,799.0,cafe,,he chased me across the field to a nearby pond,the chase me across the field to they near by pond,0.14000000059604645,1.0,,4.0,4,,10.0,0.0,6,6c80819ed90e4ec2b722949d207b071d,ced34bb304034c3aa798ad0d3bb2497a,they chased me across the field to a nearby pond,the chase me across the field to they near by pond,0.14000000059604645,ced34bb3,1.0
546,0,0.02083333395421505,813.0,cafe,,they chased me across the field to a nearby pond,they chased me across the field to tear by pat,0.1458333283662796,1.0,,4.0,4,,10.0,0.0,7,ced34bb304034c3aa798ad0d3bb2497a,1f59361af7f54d1a84f9d67279700410,They chased me across the field to a nearby pond,they chased me across the field to tear by pat,0.1666666716337204,1f59361a,0.0
3115,0,0.2199999988079071,1064.0,cafe,,They chased me across the field to a nearby pond,they chased him across the fort of the near by pond,0.27450981736183167,1.0,,4.0,4,,10.0,0.0,8,1f59361af7f54d1a84f9d67279700410,e7e6cf9bab944075b6cb7890a0b46312,they chased him across the pool to the nearby pond,they chased him across the fort of the near by pond,0.11764705926179886,e7e6cf9b,3.0
1102,0,0.3400000035762787,2176.0,cafe,,they chased him across the pool to the nearby pond,he skipped rocks across the way to the near by pond,0.3333333432674408,1.0,,4.0,4,,10.0,0.0,9,e7e6cf9bab944075b6cb7890a0b46312,94525772014f4a44a2dd99965ddc9a15,He skipped rocks across the way to the nearby pond,he skipped rocks across the way to the near by pond,0.03921568766236305,94525772,4.0
1216,0,0.1071428582072258,992.0,cafe,,He skipped rocks across the way to the nearby pond,the kipt rock a crossed the road was to a near by pond,0.37037035822868347,1.0,,4.0,4,,10.0,0.0,10,94525772014f4a44a2dd99965ddc9a15,8f285aef5a2a4053ac09ff1d4e7cf864,He skipped rocks across the road away to the nearby pond,the kipt rock a crossed the road was to a near by pond,0.2857142984867096,8f285aef,2.0
1590,0,0.2857142984867096,1062.0,cafe,,He skipped rocks across the road away to the nearby pond,he kicked rocks across the road to a near by san,0.2857142984867096,1.0,,4.0,4,,11.0,0.0,11,8f285aef5a2a4053ac09ff1d4e7cf864,de98c7e351e64006a93697b88a94714a,he kicked rocks across the road to a nearby sign ,he kicked rocks across the road to a near by san,0.08163265138864517,de98c7e3,5.0
1418,0,0.08163265138864517,1020.0,cafe,,he kicked rocks across the road to a nearby sign ,he take rocks across the road to a near by sat,0.18367347121238708,1.0,,4.0,4,,11.0,0.0,12,de98c7e351e64006a93697b88a94714a,e572f6489e034bdbb79bcf5c22d8525f,He kicked rocks across the road to a nearby site,he take rocks across the road to a near by sat,0.1666666716337204,e572f648,2.0
