,chain,character_levdau,check_time,condition,flag_type,gold_candidate_transcription,gold_comparison_transcription,gold_dist,reason,stimulus,stimulus_id,subject_id,target_length,upload_time,upstream_pointer,upstream_subject_id,user,user_candidate_transcription,user_comparison_transcription,user_dist,user_short,word_distances
1168,0,0.0,638.0,cafe,,a priest goes to college for at least four years,the priest goes to college or at least four years ,0.10000000149011612,,1.0,1,,10.0,0.0,4,17aea24c08f1429c8fa43573f4342948,954f8363ece042e4948509057e5b93c9,a priest goes to college for at least four years,the priest goes to college or at least four years ,0.10000000149011612,954f8363,0.0
1960,0,0.05999999865889549,3009.0,cafe,,a priest goes to college for at least four years,the priest cost the college or at least four years,0.18000000715255737,,1.0,1,,10.0,0.0,5,954f8363ece042e4948509057e5b93c9,edb850d5f65e40b7aca9cf14da4fd06b,The priest goes to college for at least four years,the priest cost the college or at least four years,0.14000000059604645,edb850d5,1.0
1123,0,0.35849055647850037,1070.0,cafe,,The priest goes to college for at least four years,the first is their color of her least for winters,0.5199999809265137,,1.0,1,,10.0,0.0,6,edb850d5f65e40b7aca9cf14da4fd06b,cfd2091586984815987b9eae31ce432e,The fruits lose their color for at least four winters,the first is their color of her least for winters,0.2641509473323822,cfd20915,5.0
717,0,0.2641509473323822,665.0,cafe,,The fruits lose their color for at least four winters,the horses have color for at least four winters,0.2641509473323822,,1.0,1,,10.0,0.0,7,cfd2091586984815987b9eae31ce432e,d14ebf1fffae49d8b76323eb6c393120,the horses have color for at least four winters,the horses have color for at least four winters,0.0,d14ebf1f,3.0
826,0,0.4893617033958435,639.0,cafe,,the horses have color for at least four winters,the horses are colorful in many half fluff,0.4680851101875305,,1.0,1,,9.0,0.0,8,d14ebf1fffae49d8b76323eb6c393120,dc02e8bc38234eed94e4e0cfbe083801,The horses are colorful and many have fluff,the horses are colorful in many half fluff,0.11627907305955887,dc02e8bc,7.0
591,0,0.023255813866853714,1279.0,cafe,,The horses are colorful and many have fluff,the horses are colful and many have flat,0.13953489065170288,,1.0,1,,8.0,0.0,9,dc02e8bc38234eed94e4e0cfbe083801,e4d333ad2de54f93b023b7de0a005bb6,the horses are colorful and many have fluff,the horses are colful and many have flat,0.11627907305955887,e4d333ad,0.0
1190,0,0.3255814015865326,640.0,cafe,,the horses are colorful and many have fluff,the horses are cold and need their fluff,0.302325576543808,,1.0,1,,8.0,0.0,10,e4d333ad2de54f93b023b7de0a005bb6,e1f5fb8bc21048cb8a50771b80eda39a,The horses are cold and need their fluff,the horses are cold and need their fluff,0.02500000037252903,e1f5fb8b,3.0
513,0,0.125,857.0,cafe,,The horses are cold and need their fluff,the horses are cold and need their hut,0.125,,1.0,1,,8.0,0.0,11,e1f5fb8bc21048cb8a50771b80eda39a,53edaed0aee2422e96af6c0d3d636962,the horses are cold and need their hut,the horses are cold and need their hut,0.0,53edaed0,1.0
1234,0,0.05263157933950424,687.0,cafe,,the horses are cold and need their hut,the horses are cold and need her hat,0.07894736528396606,,1.0,1,,8.0,0.0,12,53edaed0aee2422e96af6c0d3d636962,c4dd3ef88be647518f2c64ca88bfc62b,The horses are cold and need their hat,the horses are cold and need her hat,0.07894736528396606,c4dd3ef8,1.0
385,0,0.4390243887901306,641.0,cafe,,The horses are cold and need their hat,the horses are pulled on the natures path,0.4390243887901306,,1.0,1,,8.0,0.0,14,c4dd3ef88be647518f2c64ca88bfc62b,821252d8660547b98b13f0103b19af8a,the horses are pulled on the natures path,the horses are pulled on the natures path,0.0,821252d8,5.0
204,0,0.04878048598766327,568.0,cafe,,the horses are pulled on the natures path,the horses are pulled on the natures pap,0.04878048598766327,,1.0,1,,8.0,0.0,15,821252d8660547b98b13f0103b19af8a,aec6a83b7a6f4297a2a5d2c6ac47be85,The horses are pulled on the nature path,the horses are pulled on the natures pap,0.10000000149011612,aec6a83b,1.0
1470,0,0.32499998807907104,602.0,cafe,,The horses are pulled on the nature path,the forces are polldtan natures hip,0.4000000059604645,,1.0,1,,8.0,0.0,16,aec6a83b7a6f4297a2a5d2c6ac47be85,1d1900d9e2494fa899d00cf82c8a9203,the forces are pulled at natures hip,the forces are polldtan natures hip,0.1111111119389534,1d1900d9,5.0
636,0,0.10810811072587967,2063.0,cafe,,the forces are pulled at natures hip,the forces are pulled and natures whip,0.07894736528396606,,1.0,1,,7.0,0.0,18,1d1900d9e2494fa899d00cf82c8a9203,91866d3cd25c471aa975c4218cc28ea6,The forces are pulled in natures whip,the forces are pulled and natures whip,0.07894736528396606,91866d3c,2.0
1044,0,0.5135135054588318,465.0,cafe,,The forces are pulled in natures whip,the forces were pain the checks,0.5135135054588318,,1.0,1,,7.0,0.0,19,91866d3cd25c471aa975c4218cc28ea6,69dd4ca23d664987873b5c73e7eafb56,The forces were not pulling the check,the forces were pain the checks,0.2702702581882477,69dd4ca2,5.0
26,0,0.4054054021835327,1297.0,cafe,,The forces were not pulling the check,the forces were full of chance,0.4054054021835327,,1.0,1,,7.0,0.0,20,69dd4ca23d664987873b5c73e7eafb56,d3738b813a1646dbb1e62218f0b2fb10,the forces were full of chance,the forces were full of chance,0.0,d3738b81,4.0
463,0,0.0,473.0,cafe,,the forces were full of chance,the forces were full of trans,0.13333334028720856,,1.0,1,,6.0,0.0,21,d3738b813a1646dbb1e62218f0b2fb10,e6760247169048e0b7cadc76964b404e,the forces were full of chance,the forces were full of trans,0.13333334028720856,e6760247,0.0
961,0,0.03333333507180214,717.0,cafe,,the forces were full of chance,the voices were full of chance ,0.09677419066429138,,1.0,1,,6.0,0.0,22,e6760247169048e0b7cadc76964b404e,a79de0dbbe7542d0ab5a7d1e95513ca9,The forces were full of chance,the voices were full of chance ,0.12903225421905518,a79de0db,0.0
343,0,0.20000000298023224,734.0,cafe,,The forces were full of chance,the horses were full of chairs,0.20000000298023224,,1.0,1,,6.0,0.0,24,a79de0dbbe7542d0ab5a7d1e95513ca9,f1f031c96dc64732afb95fe3643f804f,the horses were full of chairs,the horses were full of chairs,0.0,f1f031c9,2.0
1715,0,0.0,2722.0,cafe,,the horses were full of chairs,the horses were full of chairs,0.0,,1.0,1,,6.0,0.0,25,f1f031c96dc64732afb95fe3643f804f,235d5bd19f0340edb67a0a55d34a3936,the horses were full of chairs,the horses were full of chairs,0.0,235d5bd1,0.0
1609,0,0.13333334028720856,1025.0,cafe,,the horses were full of chairs,the horses were pulling chairs,0.13333334028720856,,1.0,1,,6.0,0.0,26,235d5bd19f0340edb67a0a55d34a3936,94b7b6b62b3d4e01a305f4505f8c4f9e,the horses were pulling chairs,the horses were pulling chairs,0.0,94b7b6b6,2.0
82,0,0.5,476.0,cafe,,the horses were pulling chairs,the worst is the full janes,0.5,,1.0,1,,5.0,0.0,27,94b7b6b62b3d4e01a305f4505f8c4f9e,7a6228b56e654884ad9f7f619443a89e,the worst is to pull James,the worst is the full janes,0.18518517911434174,7a6228b5,5.0
1916,0,0.23076923191547394,556.0,cafe,,the worst is to pull James,the worst is to full genes,0.1538461595773697,,1.0,1,,6.0,0.0,28,7a6228b56e654884ad9f7f619443a89e,6af9802ccc1441b5858ac8427da120de,The worst is to full jeans,the worst is to full genes,0.1538461595773697,6af9802c,2.0
0,0,,,,,,,,,,2,,,,-1,,0,the iris absorbs all of the light waves except blue,,,,
1521,0,0.0,690.0,cafe,,the iris absorbs all of the light waves except blue,the irish absors all of the light waves except blue,0.03921568766236305,,2.0,2,,10.0,0.0,0,0,8cf6535ea0ae4addb28f5f90a2b13a7d,the iris absorbs all of the light waves except blue,the irish absors all of the light waves except blue,0.03921568766236305,8cf6535e,0.0
1124,0,0.019607843831181526,986.0,cafe,,the iris absorbs all of the light waves except blue,the iris absorbs all the light waves except blue,0.05882352963089943,,2.0,2,,10.0,0.0,2,8cf6535ea0ae4addb28f5f90a2b13a7d,cfd2091586984815987b9eae31ce432e,The iris absorbs all of the light waves except blue,the iris absorbs all the light waves except blue,0.0784313753247261,cfd20915,0.0
718,0,0.13725490868091583,1134.0,cafe,,The iris absorbs all of the light waves except blue,the irish absorbs all the light ranges i cept blue,0.19607843458652496,,2.0,2,,10.0,0.0,4,cfd2091586984815987b9eae31ce432e,d14ebf1fffae49d8b76323eb6c393120,the iris absorbs all the light ranges except blue,the irish absorbs all the light ranges i cept blue,0.05999999865889549,d14ebf1f,2.0
249,0,0.08163265138864517,701.0,cafe,,the iris absorbs all the light ranges except blue,hires obsolsalltheliktranges except well,0.3469387888908386,,2.0,2,,9.0,0.0,5,d14ebf1fffae49d8b76323eb6c393120,67497f6ffb7e47d795ea7b655ccdd0ca,iris absorbs all the light ranges except blue,hires obsolsalltheliktranges except well,0.3333333432674408,67497f6f,1.0
827,0,0.2708333432674408,492.0,cafe,,iris absorbs all the light ranges except blue,the irish can absorb all light ranges except lo,0.3617021143436432,,2.0,2,,8.0,0.0,6,67497f6ffb7e47d795ea7b655ccdd0ca,dc02e8bc38234eed94e4e0cfbe083801,The iris can absorb all light ranges except blue,the irish can absorb all light ranges except lo,0.1041666641831398,dc02e8bc,4.0
592,0,0.125,1274.0,cafe,,The iris can absorb all light ranges except blue,the iris can accept all lie ranges except blow,0.2291666716337204,,2.0,2,,9.0,0.0,7,dc02e8bc38234eed94e4e0cfbe083801,e4d333ad2de54f93b023b7de0a005bb6,the iris can accept all light ranges except blue,the iris can accept all lie ranges except blow,0.1041666641831398,e4d333ad,1.0
1416,0,0.25,715.0,cafe,,the iris can accept all light ranges except blue,the iris a supt all light rings except three,0.25,,2.0,2,,9.0,0.0,8,e4d333ad2de54f93b023b7de0a005bb6,805b2dbf2fdc4b7da527a1990caa2cec,The iris accepts all light rings except three,the iris a supt all light rings except three,0.1111111119389534,805b2dbf,4.0
159,0,0.20000000298023224,798.0,cafe,,The iris accepts all light rings except three,i iris accepts all i things except greek,0.24444444477558136,,2.0,2,,8.0,0.0,9,805b2dbf2fdc4b7da527a1990caa2cec,79898d5889764da58052ff63b6d18806,the iris accepts all life beings except Greek,i iris accepts all i things except greek,0.20000000298023224,79898d58,3.0
136,0,0.4444444477558136,195.0,cafe,,the iris accepts all life beings except Greek,the irish like all things except priests,0.42222222685813904,,2.0,2,,8.0,0.0,10,79898d5889764da58052ff63b6d18806,ab43ac6a79884306bdc7de5f4583873d,the Irish like all things except priests,the irish like all things except priests,0.02500000037252903,ab43ac6a,5.0
1191,0,0.15000000596046448,557.0,cafe,,the Irish like all things except priests,the irish like all things accept peace,0.20000000298023224,,2.0,2,,7.0,0.0,11,ab43ac6a79884306bdc7de5f4583873d,e1f5fb8bc21048cb8a50771b80eda39a,The Irish like all things except peace,the irish like all things accept peace,0.10526315867900848,e1f5fb8b,1.0
514,0,0.10526315867900848,1468.0,cafe,,The Irish like all things except peace,the irish like all things except heat,0.1315789520740509,,2.0,2,,7.0,0.0,12,e1f5fb8bc21048cb8a50771b80eda39a,53edaed0aee2422e96af6c0d3d636962,the Irish like all things except heat,the irish like all things except heat,0.027027027681469917,53edaed0,1.0
1656,0,0.0,1189.0,cafe,,the Irish like all things except heat,the irish like all things except heat,0.027027027681469917,,2.0,2,,7.0,0.0,13,53edaed0aee2422e96af6c0d3d636962,a575811edc0841b082724370f678d574,the Irish like all things except heat,the irish like all things except heat,0.027027027681469917,a575811e,0.0
1755,0,0.0,777.0,cafe,,the Irish like all things except heat,the irish like all things except heat,0.027027027681469917,,2.0,2,,7.0,0.0,14,a575811edc0841b082724370f678d574,f10793460a41442eaf56f7ded13b9924,the Irish like all things except heat,the irish like all things except heat,0.027027027681469917,f1079346,0.0
1235,0,0.027027027681469917,839.0,cafe,,the Irish like all things except heat,irish like all things except heat,0.13513512909412384,,2.0,2,,7.0,0.0,15,f10793460a41442eaf56f7ded13b9924,c4dd3ef88be647518f2c64ca88bfc62b,The Irish like all things except heat,irish like all things except heat,0.13513512909412384,c4dd3ef8,0.0
205,0,0.29729729890823364,632.0,cafe,,The Irish like all things except heat,i replect all things except heat,0.29729729890823364,,2.0,2,,7.0,0.0,16,c4dd3ef88be647518f2c64ca88bfc62b,aec6a83b7a6f4297a2a5d2c6ac47be85,I reflect all things except heat,i replect all things except heat,0.0625,aec6a83b,3.0
1291,0,0.03125,2210.0,cafe,,I reflect all things except heat,i reflect to all things except meat,0.1428571492433548,,2.0,2,,6.0,0.0,17,aec6a83b7a6f4297a2a5d2c6ac47be85,d1c72cfdf11448a3ad5761f7c0561742,I reflect all things except meat,i reflect to all things except meat,0.11428571492433548,d1c72cfd,1.0
1337,0,0.0625,557.0,cafe,,I reflect all things except meat,i reflect all things except me,0.09375,,2.0,2,,6.0,0.0,18,d1c72cfdf11448a3ad5761f7c0561742,d2309e9d6bcc43cf9559553f83e0d299,I reflect all things except meek,i reflect all things except me,0.09375,d2309e9d,1.0
464,0,0.37142857909202576,1196.0,cafe,,I reflect all things except meek,i would like all things except that,0.4000000059604645,,2.0,2,,6.0,0.0,19,d2309e9d6bcc43cf9559553f83e0d299,e6760247169048e0b7cadc76964b404e,I would like all things except that,i would like all things except that,0.02857142873108387,e6760247,3.0
639,0,0.0,421.0,cafe,,I would like all things except that,i would like all things except that,0.02857142873108387,,2.0,2,,7.0,0.0,21,e6760247169048e0b7cadc76964b404e,1cefe57bd04e4664a111ec51ceda6dd4,I would like all things except that,i would like all things except that,0.02857142873108387,1cefe57b,0.0
83,0,0.2857142984867096,1231.0,cafe,,I would like all things except that,i would like all things to pass ,0.3142857253551483,,2.0,2,,7.0,0.0,22,1cefe57bd04e4664a111ec51ceda6dd4,7a6228b56e654884ad9f7f619443a89e,I would like all things to pass,i would like all things to pass ,0.0625,7a6228b5,2.0
1610,0,0.032258063554763794,992.0,cafe,,I would like all things to pass,i was like all things to pass,0.16129031777381897,,2.0,2,,7.0,0.0,23,7a6228b56e654884ad9f7f619443a89e,94b7b6b62b3d4e01a305f4505f8c4f9e,i would like all things to pass,i was like all things to pass,0.12903225421905518,94b7b6b6,0.0
1917,0,0.032258063554763794,730.0,cafe,,i would like all things to pass,i would like all things to pass,0.0,,2.0,2,,7.0,0.0,24,94b7b6b62b3d4e01a305f4505f8c4f9e,6af9802ccc1441b5858ac8427da120de,I would like all things to pass,i would like all things to pass,0.032258063554763794,6af9802c,0.0
0,0,,,,,,,,,,3,,,,-1,,0,some acids you may know are vinegar and lemon juice,,,,
1522,0,0.0,605.0,cafe,,some acids you may know are vinegar and lemon juice,o asses you may know our vinegurin lemengeice,0.3333333432674408,,3.0,3,,10.0,0.0,0,0,8cf6535ea0ae4addb28f5f90a2b13a7d,some acids you may know are vinegar and lemon juice,o asses you may know our vinegurin lemengeice,0.3333333432674408,8cf6535e,0.0
1803,0,0.21568627655506134,1319.0,cafe,,some acids you may know are vinegar and lemon juice,some acent you may know our vinegar and salt,0.3333333432674408,,3.0,3,,10.0,0.0,2,8cf6535ea0ae4addb28f5f90a2b13a7d,9c5b93032ff54ea7aa4f2b30a87eb5f6,some acids you may know are vinegar and salt,some acent you may know our vinegar and salt,0.13636364042758942,9c5b9303,2.0
1169,0,0.08695652335882187,1002.0,cafe,,some acids you may know are vinegar and salt,some assad you might know or vinegar and salt,0.2222222238779068,,3.0,3,,9.0,0.0,3,9c5b93032ff54ea7aa4f2b30a87eb5f6,954f8363ece042e4948509057e5b93c9,some acids you might know are vinegar and salt,some assad you might know or vinegar and salt,0.1304347813129425,954f8363,1.0
1125,0,0.1666666716337204,1036.0,cafe,,some acids you might know are vinegar and salt,some assads you my know like vanegar and stuff,0.32608696818351746,,3.0,3,,9.0,0.0,4,954f8363ece042e4948509057e5b93c9,cfd2091586984815987b9eae31ce432e,Some acids you might know like vinegar and stuff,some assads you my know like vanegar and stuff,0.1875,cfd20915,2.0
719,0,0.1875,1113.0,cafe,,Some acids you might know like vinegar and stuff,some assads you might know identical and stuff,0.25,,3.0,3,,9.0,0.0,5,cfd2091586984815987b9eae31ce432e,d14ebf1fffae49d8b76323eb6c393120,some acids you might know identical and stuff,some assads you might know identical and stuff,0.06521739065647125,d14ebf1f,2.0
250,0,0.5306122303009033,914.0,cafe,,some acids you might know identical and stuff,some one said that you might know the bank an inter ,0.48076921701431274,,3.0,3,,8.0,0.0,6,d14ebf1fffae49d8b76323eb6c393120,67497f6ffb7e47d795ea7b655ccdd0ca,someone said that you might know the bank manager,some one said that you might know the bank an inter ,0.13461539149284363,67497f6f,6.0
593,0,0.0,1675.0,cafe,,someone said that you might know the bank manager,some one said that you might know the bank maneter,0.05999999865889549,,3.0,3,,9.0,0.0,7,67497f6ffb7e47d795ea7b655ccdd0ca,e4d333ad2de54f93b023b7de0a005bb6,someone said that you might know the bank manager,some one said that you might know the bank maneter,0.05999999865889549,e4d333ad,0.0
1417,0,0.020408162847161293,1003.0,cafe,,someone said that you might know the bank manager,some one said that you might know the bank manedher,0.0784313753247261,,3.0,3,,9.0,0.0,8,e4d333ad2de54f93b023b7de0a005bb6,805b2dbf2fdc4b7da527a1990caa2cec,Someone said that you might know the bank manager,some one said that you might know the bank manedher,0.09803921729326248,805b2dbf,0.0
160,0,0.16326530277729034,825.0,cafe,,Someone said that you might know the bank manager,some one said that you might know the candle maker,0.18000000715255737,,3.0,3,,9.0,0.0,9,805b2dbf2fdc4b7da527a1990caa2cec,79898d5889764da58052ff63b6d18806,someone said that you might know the candle maker,some one said that you might know the candle maker,0.019999999552965164,79898d58,2.0
135,0,0.0,664.0,cafe,,someone said that you might know the candle maker,some one said that you might know the candle maker,0.019999999552965164,,3.0,3,,9.0,0.0,10,79898d5889764da58052ff63b6d18806,ab43ac6a79884306bdc7de5f4583873d,someone said that you might know the candle maker,some one said that you might know the candle maker,0.019999999552965164,ab43ac6a,0.0
1756,0,0.22448979318141937,778.0,cafe,,someone said that you might know the candle maker,some one said that you might know the cambridge,0.20408163964748383,,3.0,3,,9.0,0.0,12,ab43ac6a79884306bdc7de5f4583873d,f10793460a41442eaf56f7ded13b9924,Someone said that you might know the Cambridge,some one said that you might know the cambridge,0.06382978707551956,f1079346,2.0
1657,0,0.1428571492433548,1204.0,cafe,,Someone said that you might know the Cambridge,some one said that you might know that king's bridge,0.21153846383094788,,3.0,3,,8.0,0.0,13,f10793460a41442eaf56f7ded13b9924,a575811edc0841b082724370f678d574,someone said that you might know the kings bridge,some one said that you might know that king's bridge,0.07692307978868484,a575811e,2.0
1236,0,0.10204081982374191,797.0,cafe,,someone said that you might know the kings bridge,some one said that you might know the kings break,0.10204081982374191,,3.0,3,,9.0,0.0,14,a575811edc0841b082724370f678d574,c4dd3ef88be647518f2c64ca88bfc62b,Someone said that you might know the kings break,some one said that you might know the kings break,0.040816325694322586,c4dd3ef8,1.0
206,0,0.0,598.0,cafe,,Someone said that you might know the kings break,some one said that you might know the kings break,0.040816325694322586,,3.0,3,,9.0,0.0,15,c4dd3ef88be647518f2c64ca88bfc62b,aec6a83b7a6f4297a2a5d2c6ac47be85,Someone said that you might know the kings break,some one said that you might know the kings break,0.040816325694322586,aec6a83b,0.0
1288,0,0.125,1310.0,cafe,,Someone said that you might know the kings break,some one said that you might know the break,0.1666666716337204,,3.0,3,,9.0,0.0,16,aec6a83b7a6f4297a2a5d2c6ac47be85,e2e5cbe4a87f4981bdd9d403c758ab32,Someone said that you might know the break,some one said that you might know the break,0.04651162773370743,e2e5cbe4,1.0
1338,0,0.0,973.0,cafe,,Someone said that you might know the break,some one said that you might know the break,0.04651162773370743,,3.0,3,,8.0,0.0,17,e2e5cbe4a87f4981bdd9d403c758ab32,d2309e9d6bcc43cf9559553f83e0d299,Someone said that you might know the break,some one said that you might know the break,0.04651162773370743,d2309e9d,0.0
1472,0,0.13636364042758942,738.0,cafe,,Someone said that you might know the break,some one said that you might know the bridge,0.13636364042758942,,3.0,3,,8.0,0.0,19,d2309e9d6bcc43cf9559553f83e0d299,1d1900d9e2494fa899d00cf82c8a9203,someone said that you might know the bridge ,some one said that you might know the bridge,0.04545454680919647,1d1900d9,2.0
1681,0,0.15909090638160706,2992.0,cafe,,someone said that you might know the bridge ,some one said you might know who did,0.2954545319080353,,3.0,3,,9.0,0.0,20,1d1900d9e2494fa899d00cf82c8a9203,49faa5f32cca4f248a9024990304d41b,someone said that you might know who did,some one said you might know who did,0.15000000596046448,49faa5f3,3.0
76,0,0.25,1316.0,cafe,,someone said that you might know who did,some one said you might now the lard,0.30000001192092896,,3.0,3,,8.0,0.0,21,49faa5f32cca4f248a9024990304d41b,d27cb91799ef4682bfc84db6b17a6fce,someone said you might know the laird,some one said you might now the lard,0.0810810774564743,d27cb917,3.0
465,0,0.10810811072587967,562.0,cafe,,someone said you might know the laird,some one said you might know the way,0.13513512909412384,,3.0,3,,7.0,0.0,22,d27cb91799ef4682bfc84db6b17a6fce,e6760247169048e0b7cadc76964b404e,someone said you might know the way,some one said you might know the way,0.02777777798473835,e6760247,1.0
